Ticker,Name,start_date,end_date
EPC,Edgewell Personal Care Co,2007-04-26,2023-06-09
EPD,Enterprise Products Partners L.P.,2007-04-30,2023-06-09
EPIX,Essa Pharma,2015-03-13,2023-06-09
EPM,Evolution Petroleum,2007-05-16,2023-06-09
EPOW,Sunrise New Energy Ltd,2021-02-09,2023-06-09
EPR,Epr Properties,2007-01-03,2023-06-09
EPRT,Essential Properties Realty Trust,2018-06-21,2023-06-09
EPSN,Epsilon Energy Common Share,2019-02-19,2023-06-09
EPWR,Empowerment & Inclusion Capital I Class A,2021-03-01,2022-12-13
EQ,Equillium,2018-10-12,2023-06-09
EQBK,Equity Bancshares,2015-11-11,2023-06-09
EQC,Equity Commonwealth,2007-04-27,2023-06-09
EQH,Equitable Holdings,2018-05-10,2023-06-09
EQIX,Equinix,2005-01-03,2023-06-09
EQNR,Equinor Asa,2013-08-26,2023-06-09
EQOS,Eqonex Ordinary Shares,2019-05-16,2022-11-29
EQR,Equity Residential,2005-01-03,2023-06-09
EQRX,Eqrx,2021-06-03,2023-06-09
EQRXW,Eqrx Warrant,2021-12-20,2023-06-09
EQS,Equus Total Return,2007-05-16,2023-06-09
EQT,Eqt Corporation,2005-01-03,2023-06-09
EQX,Equinox Gold,2019-09-16,2023-06-09
ERAS,Erasca,2021-07-16,2023-06-09
ERC,Allspring Multi-Sector Income Fund,2007-05-10,2023-06-09
ERF,Enerplus Corporation,2007-04-26,2023-06-09
ERH,Allspring Utilities And High Income Fund Common Shares,2007-05-16,2023-06-09
ERIC,Telefonaktiebolaget Lm Ericsson,2007-01-03,2023-06-09
ERIE,Erie Indemnity,2007-04-27,2023-06-09
ERII,Energy Recovery,2008-07-02,2023-06-09
ERJ,Embraer S.A.,2007-04-30,2023-06-09
ERNA,Eterna Therapeutics,2021-03-26,2023-06-09
ERYP,Erytech Pharma S.A. American Depositary Shares,2017-11-10,2023-06-09
ES,Eversource Energy,2009-03-02,2023-06-09
ESAB,Esab,2022-04-05,2023-06-09
ESBA,Empire State Realty Op  L.P. Series Es,2013-10-02,2023-06-08
ESCA,Escalade,2007-05-16,2023-06-09
ESE,Esco Technologies,2007-04-30,2023-06-09
ESEA,Euroseas,2007-05-16,2023-06-09
ESGR,Enstar,2007-05-16,2023-06-09
ESGRO,Enstar Depository Shares 7.00% Perpetual Non-Cumulative Preference Shares Series E,2018-12-03,2023-06-09
ESGRP,Enstar Depositary Shares Each Representing 1/1000Th Of An Interest In Preference Shares,2018-07-13,2023-06-09
ESI,Element Solutions Inc,2014-01-23,2023-06-09
ESLT,Elbit Systems Ltd,2010-06-01,2023-06-09
ESMT,Engagesmart ,2021-09-23,2023-06-09
ESNT,Essent Ltd.,2013-10-31,2023-06-09
ESOA,Energy Services Of America,2012-11-16,2023-06-09
ESP,Espey Mfg. & Electronics,2007-05-16,2023-06-09
ESPR,Esperion Therapeutics Co,2013-06-26,2023-06-09
ESQ,Esquire Financial,2017-06-27,2023-06-09
ESRT,Empire State Realty Trust,2013-10-02,2023-06-09
ESS,Essex Property Trust,2005-01-03,2023-06-09
ESSA,Essa Bancorp,2007-05-16,2023-06-09
ESTA,Establishment Labs Holdings,2018-07-19,2023-06-09
ESTC,Elastic N.V.,2018-10-05,2023-06-09
ESTE,Earthstone Energy,2007-05-16,2023-06-09
ET,Energy Transfer Lp,2007-05-02,2023-06-09
ETB,Eaton Vance Tax-Managed Buy-Write Income Fund Eaton Vance Tax-Managed Buy-Write Income Fund Common Shares Of Beneficial Interest,2007-05-03,2023-06-09
ETD,Ethan Allen Interiors Inc,2007-04-26,2023-06-09
ETG,Eaton Vance Tax-Advantaged Global Dividend Income Fund Common Shares Of Beneficial Interest,2007-05-03,2023-06-09
ETJ,Eaton Vance Risk-Managed Diversified Equity Income Fund Common Shares Of Beneficial Interest,2007-07-27,2023-06-09
ETN,Eaton Corporation,2012-12-03,2023-06-09
ETNB,89Bio,2019-11-11,2023-06-09
ETO,Eaton Vance Tax-Advantage Global Dividend Opp,2007-05-16,2023-06-09
ETON,Eton Pharmaceutcials,2018-11-13,2023-06-09
ETR,Entergy,2005-01-03,2023-06-09
ETRN,Equitrans Midstream Corp,2018-10-31,2023-06-09
ETSY,Etsy,2015-04-16,2023-06-09
ETV,Eaton Vance Eaton Vance Tax-Managed Buy-Write Opportunities Fund Common Shares Of Beneficial Interest,2007-04-26,2023-06-09
ETW,Eaton Vance Eaton Vance Tax-Managed Global Buy-Write Opportunites Fund Common Shares Of Beneficial Interest,2007-05-01,2023-06-09
ETWO,E2open Parent Holdings ,2020-06-15,2023-06-09
ETX,Eaton Vance Municipal Income 2028 Term Trust Common Shares Of Beneficial Interest,2013-03-26,2023-06-09
ETY,Eaton Vance Tax-Managed Diversified Equity Income Fund Common Shares Of Beneficial Interest,2007-05-16,2023-06-09
EU,Encore Energy,2008-05-21,2023-06-09
EUDA,Euda Health Holdings,2021-12-14,2023-06-09
EURN,Euronav Nv,2015-01-23,2023-06-09
EVA,Enviva Partners  Lp,2015-04-29,2023-06-09
EVAX,Evaxion Biotech,2021-02-05,2023-06-09
EVBG,Everbridge,2016-09-16,2023-06-09
EVBN,Evans Bancorp,2007-05-16,2023-06-09
EVC,Entravision Communication,2007-05-02,2023-06-09
EVCM,Evercommerce,2021-07-01,2023-06-09
EVER,Everquote,2018-06-28,2023-06-09
EVEX,Eve Holding,2022-05-10,2023-06-09
EVF,Eaton Vance Senior Income Trust,2007-05-16,2023-06-09
EVFM,Evofem Biosciences,2014-11-20,2023-05-17
EVG,Eaton Vance Short Diversified Income Fund Eaton Vance Short Duration Diversified Income Fund Common Shares Of Beneficial Interest,2007-05-04,2023-06-09
EVGN,Evogene Ordinary Shares,2013-11-21,2023-06-09
EVGO,Evgo Class A,2020-11-20,2023-06-09
EVGOW,Evgo Warrants,2020-11-20,2023-06-09
EVGR,Evergreen Class A Ordinary Share,2022-04-06,2023-06-09
EVGRU,Evergreen Unit,2022-02-09,2023-05-26
EVH,Evolent Health,2015-06-05,2023-06-09
EVI,Evi Industries,2009-12-01,2023-06-09
EVKG,Ever-Glory International Inc,2008-07-16,2023-04-18
EVLO,Evelo Biosciences,2018-05-09,2023-06-09
EVLV,Evolv Technologies Holdings  Class A,2020-09-22,2023-06-09
EVLVW,Evolv Technologies Holdings Warrant,2021-07-19,2023-06-09
EVM,Eaton Vance California Municipal Bond Fund Common Shares Of Beneficial Interest $.01 Par Value,2007-05-16,2023-06-09
EVN,Eaton Vance Municipal Income Trust,2007-05-16,2023-06-09
EVO,Evotec Se American Depositary Shares,2021-11-04,2023-06-09
EVOK,Evoke Pharma,2013-09-25,2023-06-09
EVOP,Evo Payments,2018-05-23,2023-03-23
EVR,Evercore,2007-01-03,2023-06-09
EVRG,Evergy,2007-12-18,2023-06-09
EVRI,Everi,2007-05-08,2023-06-09
EVT,Eaton Vance Tax Advantaged Dividend Income Fund Common Shares Of Beneficial Interest,2007-05-02,2023-06-09
EVTC,Evertec,2013-12-04,2023-06-09
EVTL,Vertical Aerospace Ordinary Shares,2021-12-16,2023-06-09
EVTV,Envirotech Vehicles,2022-07-06,2023-06-09
EVV,Eaton Vance Duration Income Fund Common Shares Of Beneficial Interest,2007-05-01,2023-06-09
EW,Edwards Lifesciences,2005-01-03,2023-06-09
EWBC,East West Bancorp,2007-01-03,2023-06-09
EWCZ,European Wax Center,2021-08-05,2023-06-09
EWTX,Edgewise Therapeutics,2021-03-26,2023-06-09
EXAI,Exscientia Plc American Depositary Shares,2021-10-01,2023-06-09
EXAS,Exact Sciences Corporation,2007-01-03,2023-06-09
EXC,Exelon,2005-01-03,2023-06-09
EXD,Eaton Vance Tax-Managed Buy-Write Strategy Fund Common Shares Of Beneficial Interest,2010-06-25,2023-04-14
EXEL,Exelixis,2007-01-03,2023-06-09
EXFY,Expensify  Class A,2021-11-10,2023-06-09
EXG,Eaton Vance Tax-Managed Global Diversified Equity Income Fund,2007-02-23,2023-06-09
EXK,Endeavour Silver,2007-05-16,2023-06-09
EXLS,Exlservice,2007-05-02,2023-06-09
EXN,Excellon Resources Common Shares,2020-09-23,2023-01-30
EXP,Eagle Materials,2007-01-03,2023-06-09
EXPD,Expeditors,2005-06-06,2023-06-09
EXPE,Expedia,2005-08-09,2023-06-09
EXPI,Exp World,2013-11-19,2023-06-09
EXPO,Exponent,2007-01-03,2023-06-09
EXPR,Express,2010-05-13,2023-06-09
EXR,Extra Space Storage,2005-01-03,2023-06-09
EXTR,Extreme Networks,2007-05-01,2023-06-09
EYE,National Vision Holdings,2017-10-26,2023-06-09
EYEN,Eyenovia,2018-01-25,2023-06-09
EYPT,Eyepoint Pharmaceuticals,2007-05-16,2023-06-09
EZFL,Ezfill Holdings,2021-09-15,2023-06-09
EZGO,Ezgo Technologies,2021-01-26,2023-06-09
EZPW,Ezcorp,2007-04-30,2023-06-09
F,Ford Motor,2005-01-03,2023-06-09
FA,First Advantage,2021-06-23,2023-06-09
FAF,First American Financial Corporation,2010-05-24,2023-06-09
FAM,First Trust/Aberdeen Global Opportunity Income Fund First Trust/Aberdeen Global Opportunity Income Fund Common Shares Of Beneficial Interest,2007-04-25,2023-06-09
FAMI,Farmmi ,2018-02-16,2023-06-09
FANG,Diamondback Energy,2012-10-12,2023-06-09
FANH,Fanhua American Depositary Shares,2007-10-31,2023-06-09
FARM,Farmer Bros,2007-05-16,2023-06-09
FARO,Faro Technologies,2007-05-03,2023-06-09
FAST,Fastenal Co,2005-01-03,2023-06-09
FAT,Fat Brands Class A,2017-10-23,2023-06-09
FATBB,Fat Brands Class B,2021-08-24,2023-06-09
FATBW,Fat Brands Warrant,2020-07-14,2023-06-09
FATE,Fate Therapeutics,2013-10-01,2023-06-09
FATH,Fathom Digital Manufacturing Class A,2021-03-29,2023-06-09
FAX,Aberdeen Asia-Pacific Income Fund Inc,2007-05-03,2023-06-09
FAZE,Faze Holdings,2021-04-13,2023-06-09
FBC,Flagstar Bancorp,2007-05-02,2022-11-30
FBHS,Fortune Brands Home & Security,2011-10-04,2022-12-14
FBIN,Fortune Brands Innovations,2011-10-04,2023-06-09
FBIO,Fortress Biotech,2011-11-17,2023-06-09
FBIOP,Fortress Biotech 9.375% Series A Cumulative Redeemable Perpetual Preferred Stock,2017-11-14,2023-06-09
FBIZ,First Business Financial,2007-05-16,2023-06-09
FBK,Fb Financial Corp,2016-09-16,2023-06-09
FBMS,First Bancshares,2007-05-17,2023-06-09
FBNC,First Bancorp,2007-05-16,2023-06-09
FBP,First Bancorp,2007-04-26,2023-06-09
FBRT,Franklin Bsp Realty Trust,2021-10-19,2023-06-09
FBRX,Forte Biosciences,2017-04-13,2023-06-09
FC,Franklin Covey,2007-05-16,2023-06-09
FCAP,First Capital,2007-05-24,2023-06-09
FCBC,First Community,2007-05-16,2023-06-09
FCCO,First Community,2007-05-16,2023-06-09
FCEL,Fuelcell Energy,2007-05-02,2023-06-09
FCF,First Commonwealth,2007-05-02,2023-06-09
FCFS,Firstcash,2007-01-03,2023-06-09
FCN,Fti Consulting,2007-01-03,2023-06-09
FCNCA,First Citizens Bancshares,2007-05-16,2023-06-09
FCNCP,First Citizens Bancshares Depositary Shares,2020-03-13,2023-06-09
FCO,Aberdeen Global Income Fund,2007-05-16,2023-06-09
FCPT,Four Corners Property Trust,2015-11-10,2023-06-09
FCRD,First Eagle Alternative Capital Bdc,2010-04-22,2023-03-09
FCT,First Trust Senior Floating Rate Income Fund Ii Common Shares Of Beneficial Interest,2007-05-16,2023-06-09
FCUV,Focus Universal,2017-09-01,2023-06-09
FCX,Freeport-Mcmoran,2005-01-03,2023-06-09
FDBC,Fidelity D & D Bancorp,2007-05-16,2023-06-09
FDEU,First Trust Dynamic Europe Equity Income Fund Common Shares Of Beneficial Interest,2015-09-25,2023-06-09
FDMT,4D Molecular Therapeutics,2020-12-11,2023-06-09
FDP,Fresh Del Monte Produce,2007-05-04,2023-06-09
FDS,Factset Research Systems,2007-05-01,2023-06-09
FDUS,Fidus Investment,2011-06-21,2023-06-09
FDX,Fedex Corporation,2005-01-03,2023-06-09
FE,Firstenergy Corp,2005-01-03,2023-06-09
FEAM,5E Advanced Materials,2022-03-15,2023-06-09
FEDU,Four Seasons Education,2017-11-08,2023-06-01
FEI,First Trust Mlp And Energy Income Fund Common Shares Of Beneficial Interest,2012-11-28,2023-06-09
FEIM,Frequency Electronics,2007-05-16,2023-06-09
FELE,Franklin Electric,2007-05-08,2023-06-09
FEMY,Femasys,2021-06-18,2023-06-09
FEN,First Trust Energy Income And Growth Fund,2007-05-16,2023-06-09
FENC,Fennec Pharmaceuticals,2017-09-13,2023-06-09
FENG,Phoenix New Media American Depositary Shares Each Representing 48 Class A Ordinary Shares.,2011-05-12,2023-06-09
FEO,First Trust/Aberdeen Emerging Opportunity Fund Common Shares Of Beneficial Interest,2007-05-16,2022-12-01
FERG,Ferguson Plc,2021-03-08,2023-06-09
FET,Forum Energy Technologies,2012-04-12,2023-06-09
FEXD,Fintech Ecosystem Development Class A,2022-01-13,2023-06-02
FEXDR,Fintech Ecosystem Development Right,2022-01-13,2023-06-09
FEXDW,Fintech Ecosystem Development Warrant,2022-01-13,2023-06-06
FF,Futurefuel,2007-05-16,2023-06-09
FFA,First Trust Enhanced Equity Income Fund,2007-05-16,2023-06-09
FFBC,First Financial Bancorp,2007-05-01,2023-06-09
FFBW,Ffbw,2017-10-11,2023-06-09
FFC,Flaherty & Crumrine Preferred And Income Securities Fund Incorporated,2007-05-02,2023-06-09
FFHL,Fuwei Films,2007-05-16,2022-12-23
FFIC,Flushing Financial,2007-05-01,2023-06-09
FFIE,Faraday Future Intelligent Electric,2020-09-02,2023-06-09
FFIEW,Faraday Future Intelligent Electric Warrant,2020-08-28,2023-06-09
FFIN,First Financial Bankshares,2007-01-03,2023-06-09
FFIV,F5 Networks,2005-01-03,2023-06-09
FFNW,First Financial Northwest,2007-10-10,2023-06-09
FFWM,First Foundation,2014-11-03,2023-06-09
FG,F&G Annuities & Life,2022-12-01,2023-06-09
FGB,First Trust Specialty Finance And Financial Opportunities Fund,2007-05-25,2023-06-09
FGBI,First Guaranty Bancshares,2015-11-05,2023-06-09
FGEN,Fibrogen,2014-11-14,2023-06-09
FGF,Fg Financial,2014-04-01,2023-06-09
FGH,Fg Holdings,2007-05-16,2023-06-09
FGI,Fgi Industries Ordinary Shares,2022-01-25,2023-06-09
FGMC,Fg Merger,2022-04-19,2023-06-09
FGMCU,Fg Merger Unit,2022-02-25,2023-06-05
FGMCW,Fg Merger Warrant,2022-04-21,2023-06-09
FHB,First Hawaiian,2016-08-04,2023-06-09
FHI,Federated Hermes,2007-05-01,2023-06-09
FHLT,Future Health ESG,2021-12-08,2023-06-09
FHLTU,Future Health ESG Unit,2021-09-10,2023-06-09
FHLTW,Future Health ESG Warrant,2021-12-09,2023-06-09
FHN,First Horizon National Corporation,2005-01-03,2023-06-09
FHSEY,First High-School Education Co Ltd.,2021-03-11,2023-04-25
FHTX,Foghorn Therapeutics,2020-11-02,2023-06-09
FIBK,First Interstate Banc,2010-03-24,2023-06-09
FICO,Fair Isaac,2009-08-18,2023-06-09
FICV,Frontier Investment Class A Ordinary Shares,2021-09-14,2023-06-09
FICVU,Frontier Investment Units,2021-07-01,2023-06-06
FICVW,Frontier Investment Warrants,2021-09-10,2023-06-09
FIF,First Trust Energy Infrastructure Fund Common Shares Of Beneficial Interest,2011-09-28,2023-06-09
FIGS,Figs,2021-05-27,2023-06-09
FINM,Marlin Technology,2021-03-09,2023-01-13
FINMU,Marlin Technology Unit,2021-01-13,2023-01-12
FINMW,Marlin Technology Warrant,2021-03-08,2023-01-13
FINS,Angel Oak Financial Strategies Income Term Trust Common Shares Of Beneficial Interest,2019-05-29,2023-06-09
FINV,Finvolution American Depositary Shares,2017-11-10,2023-06-09
FINW,Finwise Bancorp,2021-11-19,2023-06-09
FIP,Ftai Infrastructure,2022-07-20,2023-06-09
FIS,Fidelity National Information Services,2006-02-01,2023-06-09
FISI,Financial Institutions,2007-05-16,2023-06-09
FISK,Empire State Realty Op  L.P. Series 250,2013-10-08,2023-06-07
FISV,Fiserv Inc,2005-01-03,2023-06-06
FITB,Fifth Third Bancorp,2011-01-20,2023-06-09
FITBI,Fifth Third Bancorp Depositary Shares,2013-12-06,2023-06-09
FITBO,Fifth Third Bancorp Depositary Shares Each Representing A 1/1000Th Ownership Interest In A Share Of Non-Cumulative Perpetual Preferred Stock Series K,2019-10-02,2023-06-09
FITBP,Fifth Third Bancorp Depositary Shares Each Representing 1/40Th Share Of Fifth Third 6.00% Non-Cumulative Perpetual Class B Preferred Stock Series A,2019-08-27,2023-06-09
FIVE,Five Below,2012-07-19,2023-06-09
FIVN,Five9,2014-04-04,2023-06-09
FIX,Comfort Systems,2007-05-01,2023-06-09
FIXX,Homology Medicines,2018-03-28,2023-06-09
FIZZ,National Beverage,2007-06-12,2023-06-09
FKWL,Franklin Wireless,2008-01-23,2023-06-09
FL,Foot Locker Inc,2005-01-03,2023-06-09
FLC,Flaherty & Crumrine Total Return Fund Inc,2007-05-16,2023-06-09
FLEX,Flex Ltd,2005-01-03,2023-06-09
FLFV,Feutune Light Acquisition Corporation,2022-08-08,2023-06-09
FLGC,Flora Growth,2021-05-11,2023-06-09
FLGT,Fulgent Genetics,2016-09-29,2023-06-09
FLIC,First Of Long Island,2007-05-16,2023-06-09
FLJ,Flj,2019-11-05,2023-06-09
FLL,Full House Resorts,2007-05-16,2023-06-09
FLNC,Fluence Energy  Class A,2021-10-28,2023-06-09
FLNG,Flex Lng Ordinary Shares,2019-06-17,2023-06-09
FLNT,Fluent,2016-09-26,2023-06-09
FLO,Flowers Foods,2007-01-03,2023-06-09
FLR,Fluor,2005-01-03,2023-06-09
FLS,Flowserve Corporation,2005-01-03,2023-06-09
FLT,Fleetcor Technologies Inc,2010-12-15,2023-06-09
FLUX,Flux Power Holdings,2012-06-15,2023-06-09
FLWS,1-800 Flowers.com,2007-05-02,2023-06-09
FLXS,Flexsteel Industries,2007-05-16,2023-06-09
FLYW,Flywire,2021-05-26,2023-06-09
FMAO,Farmers & Merchants Bancorp,2007-05-16,2023-06-09
FMBH,First Mid Bancshares,2007-05-17,2023-06-09
FMC,Fmc Corporation,2005-01-03,2023-06-09
FMIV,Forum Merger Iv Class A,2021-06-07,2023-05-26
FMIVU,Forum Merger Iv Unit,2021-03-18,2023-05-26
FMIVW,Forum Merger Iv Warrant,2021-05-26,2023-06-09
FMN,Federated Hermes Premier Municipal Income Fund,2007-05-16,2023-06-09
FMNB,Farmers National Banc,2007-05-16,2023-06-09
FMS,Fresenius Medical Care Ag & Co. Kgaa,2007-01-03,2023-06-09
FMX,Fomento Economico Mexicano S.A.B. De C.V.,2007-04-30,2023-06-09
FMY,First Trust Motgage Income Fund Common Shares Of Beneficial Interest,2007-05-16,2023-06-09
FN,Fabrinet,2010-06-25,2023-06-09
FNA,Paragon 28,2021-10-15,2023-06-09
FNB,F.N.B. Corporation,2007-01-03,2023-06-09
FNCB,Fncb Bancorp,2007-05-16,2023-06-09
FNCH,Finch Therapeutics,2021-03-19,2023-06-09
FND,Floor & Decor Holdings,2017-04-27,2023-06-09
FNF,Fidelity National Financial,2007-01-03,2023-06-09
FNGR,Fingermotion,2017-08-01,2023-06-09
FNKO,Funko,2017-11-02,2023-06-09
FNLC,First Bancorp,2007-05-16,2023-06-09
FNV,Franco-Nevada Corporation,2011-09-08,2023-06-09
FNWB,First Northwest Bancorp,2015-01-30,2023-06-09
FNWD,Finward Bancorp,2007-05-16,2023-06-09
FOA,Finance Of America Companies Class A,2019-04-18,2023-06-09
FOCS,Focus Financial Partners,2018-07-26,2023-06-09
FOF,Cohen & Steers Closed-End Opportunity Fund,2007-05-16,2023-06-09
FOLD,Amicus Therapeutics,2007-05-31,2023-06-09
FONR,Fonar,2007-05-15,2023-06-09
FOR,Forestar,2017-09-28,2023-06-09
FORA,Forian,2021-03-03,2023-06-09
FORD,Forward Industries,2007-05-02,2023-06-09
FORG,Forgerock ,2021-09-16,2023-06-09
FORM,Formfactor,2007-01-03,2023-06-09
FORR,Forrester Research,2007-05-02,2023-06-09
FORTY,Formula Systems,2013-02-11,2023-06-08
FOSL,Fossil,2005-01-03,2023-06-09
FOUR,Shift4 Payments,2020-06-05,2023-06-09
FOX,Twenty-First Century Fox Class B,2007-04-30,2023-06-09
FOXA,Twenty-First Century Fox Class A,2019-02-27,2023-06-09
FOXF,Fox Factory Holding,2013-08-08,2023-06-09
FOXO,Foxo Technologies Class A,2022-09-16,2023-06-09
FPAY,Flexshopper,2012-01-24,2023-06-09
FPF,First Trust Intermediate Duration Preferred & Income Fund Common Shares Of Beneficial Interest,2013-05-24,2023-06-09
FPH,Five Point Holdings  Llc Class A Common Shares,2017-05-10,2023-06-09
FPI,Farmland Partners,2014-04-11,2023-06-09
FPL,First Trust New Opportunities Mlp & Energy Fund,2014-03-27,2023-06-09
FR,First Industrial Realty Trust,2007-01-03,2023-06-09
FRA,Blackrock Floating Rate Income Strategies Fund Inc,2007-05-16,2023-06-09
FRAF,Franklin Finl Svcs Corp,2007-05-17,2023-06-09
FRBA,First Bank Williamstown,2007-05-17,2023-06-09
FRBK,Republic First Bancorp,2007-05-16,2023-06-09
FRD,Friedman Industries,2007-05-16,2023-06-09
FREE,Whole Earth Brands Class A,2019-05-14,2023-06-09
FREEW,Whole Earth Brands Warrant,2020-06-25,2023-06-09
FREQ,Frequency Therapeutics,2019-10-03,2023-06-09
FRES,Fresh2 Ltd.,2020-01-30,2023-06-09
FREY,Freyr Battery,2021-07-06,2023-06-09
FRG,Franchise,2018-08-02,2023-06-09
FRGE,Forge Global,2022-03-22,2023-06-09
FRGI,Fiesta Restaurant,2012-04-26,2023-06-09
FRGT,Freight Technologies Ordinary Shares,2017-08-08,2023-06-09
FRHC,Freedom Holding,2011-09-30,2023-06-09
FRLN,Freeline Therapeutics Plc,2020-08-07,2023-06-09
FRME,First Merchants,2007-05-10,2023-06-09
FRMEP,First Merchants Depository Shares,2022-04-04,2023-06-09
FRO,Frontline,2007-05-01,2023-06-09
FROG,Jfrog,2020-09-16,2023-06-09
FRPH,Frp,2007-05-16,2023-06-09
FRPT,Freshpet,2014-11-07,2023-06-09
FRSGU,First Reserve Sustainable Growth Unit,2021-03-05,2023-03-07
FRSH,Freshworks Class A,2021-09-22,2023-06-09
FRST,Primis Financial,2007-05-16,2023-06-09
FRSX,Foresight Autonomous Holdings American Depositary Shares,2017-06-15,2023-06-09
FRT,Federal Realty Investment Trust,2005-01-03,2023-06-09
FRTX,Fresh Tracks Therapeutics,2007-05-01,2023-06-09
FRZA,Forza X1,2022-08-12,2023-06-09
FSBC,Five Star Bancorp,2021-05-05,2023-06-09
FSBW,Fs Bancorp,2012-07-10,2023-06-09
FSCO,Fs Credit Opportunities,2022-11-14,2023-06-09
FSD,First Trust High Income Long Short Fund Common Shares Of Beneficial Interest,2010-09-28,2023-06-09
FSEA,First Seacoast Bancorp,2019-07-17,2023-06-09
FSFG,First Savings Financial,2008-10-07,2023-06-09
FSI,Flexible Solutions International,2007-05-16,2023-06-09
FSLR,First Solar,2006-11-17,2023-06-09
FSLY,Fastly,2019-05-17,2023-06-09
FSM,Fortuna Silver Mines,2011-09-19,2023-06-09
FSP,Franklin Street Pptys,2007-05-03,2023-06-09
FSR,Fisker,2020-10-30,2023-06-09
FSRD,Fast Radius Class A,2021-04-06,2022-11-17
FSRDW,Fast Radius Warrants,2022-02-07,2022-11-17
FSS,Federal Signal,2007-05-01,2023-06-09
FSSI,Fortistar Sustainable Solutions,2021-03-22,2022-12-07
FSSIU,Fortistar Sustainable Solutions Unit,2021-01-27,2022-12-07
FSSIW,Fortistar Sustainable Solutions Warrant,2021-03-19,2022-12-07
FSTR,Lb Foster,2007-05-08,2023-06-09
FSTX,F-Star Therapeutics,2016-05-06,2023-03-08
FSV,Firstservice Common Shares,2015-06-02,2023-06-09
FT,Franklin Universal Trust,2007-05-16,2023-06-09
FTAI,Fortress Transportation And Infrastructure Investors Llc,2015-05-15,2023-06-09
FTCH,Farfetch Limited,2018-09-21,2023-06-09
FTCI,Ftc Solar,2021-04-28,2023-06-09
FTDR,Frontdoor,2018-09-13,2023-06-09
FTEK,Fuel Tech,2007-05-04,2023-06-09
FTF,Franklin Duration Income Trust Common Shares Of Beneficial Interest,2007-05-04,2023-06-09
FTFT,Future Fintech,2009-03-12,2023-06-09
FTHM,Fathom Holdings,2020-07-31,2023-06-09
FTHY,First Trust High Yield Opportunities 2027 Term Fund,2020-06-26,2023-06-09
FTI,Technipfmc,2017-01-17,2023-06-09
FTII,Futuretech Ii Acquisition,2022-04-08,2023-06-09
FTK,Flotek Industries,2007-05-08,2023-06-09
FTNT,Fortinet,2009-11-18,2023-06-09
FTS,Fortis,2016-10-14,2023-06-09
FTV,Fortive Corp,2016-07-05,2023-06-09
FUBO,Fubotv /Fl,2020-10-08,2023-06-09
FUL,H.B. Fuller Company,2007-01-03,2023-06-09
FULC,Fulcrum Therapeutics,2019-07-18,2023-06-09
FULT,Fulton Financial,2007-05-08,2023-06-09
FULTP,Fulton Financial Depositary Shares Each Representing A 1/40Th Interest In A Share Of Fixed Rate Non-Cumulative Perpetual Preferred Stock Series A,2020-11-03,2023-06-09
FUN,Cedar Fair L.P.,2007-01-03,2023-06-09
FUNC,First United,2007-05-16,2023-06-09
FUND,Sprott Focus Trust,2007-05-16,2023-06-09
FURY,Fury Gold Mines Common Shares,2020-10-12,2023-06-09
FUSB,First Us Bancshares,2007-05-16,2023-06-09
FUSN,Fusion Pharmaceuticals,2020-06-26,2023-06-09
FUTU,Futu Holdings Limited,2019-03-08,2023-06-09
FUV,Arcimoto ,2017-09-21,2023-06-09
FVCB,Fvcbankcorp,2017-09-29,2023-06-09
FVRR,Fiverr International Ltd.,2019-06-13,2023-06-09
FWBI,First Wave Biopharma,2016-10-28,2023-06-09
FWONA,Formula One,2013-01-22,2023-06-09
FWONK,Formula One,2014-07-08,2023-06-09
FWPAY,Forward Pharma A,2014-10-15,2023-04-24
FWRD,Forward Air,2007-05-04,2023-06-09
FWRG,First Watch Restaurant,2021-10-01,2023-06-09
FXLV,F45 Training,2021-07-15,2023-06-09
FXNC,First National,2007-05-16,2023-06-09
FYBR,Frontier Communications Parent ,2021-05-04,2023-06-09
G,Genpact Limited,2007-08-02,2023-06-09
GAB,Gabelli Equity Trust,2007-05-08,2023-06-09
GABC,German American Bancorp,2007-05-16,2023-06-09
GAIA,Gaiam,2007-05-07,2023-06-09
GAIN,Gladstone Investment,2007-05-09,2023-06-09
GALT,Galectin Therapeutics,2009-01-12,2023-06-09
GAM,General American Investors,2007-05-16,2023-06-09
GAMB,Gambling.com,2021-07-23,2023-06-09
GAMC,Golden Arrow Merger Class A,2021-05-07,2023-06-09
GAMCU,Golden Arrow Merger Unit,2021-03-17,2023-06-09
GAMCW,Golden Arrow Merger Warrant,2021-06-04,2023-06-07
GAME,Engine Gaming And Media,2021-06-17,2023-06-09
GAMI,Gamco Investors Inc Et Al,2007-05-16,2023-04-26
GAN,Gan,2020-05-08,2023-06-09
GANX,Gain Therapeutics,2021-03-18,2023-06-09
GASS,Stealthgas,2007-05-16,2023-06-09
GATO,Gatos Silver,2020-11-02,2023-06-09
GATX,Gatx Corp,2007-04-27,2023-06-09
GAU,Galiano Gold,2008-01-02,2023-06-09
GB,Global Blue Holding Ag Ordinary Shares,2018-06-27,2023-06-09
GBAB,Guggenheim Taxable Municipal Bond & Investment Grade Debt Trust Common Shares Of Beneficial Interest,2010-10-27,2023-06-09
GBBK,Global Blockchain Acquisition,2022-06-17,2023-06-09
GBCI,Glacier Bancorp,2014-03-04,2023-06-09
GBIO,Generation Bio,2020-06-12,2023-06-09
